ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-00001724,PR-40011837,Kiwi Kids,Kiwi Kids Education and Care Pty Ltd,49 Wembley Road,LOGAN CENTRAL,QLD,4114,153.1131627,-27.6408556,1,74,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Sep-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,No
SE-00001725,PR-00001129,Goodstart Early Learning Deeragun,Goodstart Early Learning Ltd,2 Brenton Circuit,DEERAGUN,QLD,4818,146.6683811,-19.2477684,7,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Sep-14,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00001726,PR-40001112,Milestones Early Learning Gulliver,Affinity Education Group Limited,47 Mooney Street,GULLIVER,QLD,4812,146.7712685,-19.2810193,4,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jun-14,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00001727,PR-00000431,Sesame Lane Child Care - Clontarf,Sesame Lane Pty Ltd,10-22 Lucinda Street,CLONTARF,QLD,4019,153.088425,-27.2459048,4,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-15,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,6:30,18:30,Yes
SE-00001728,PR-00001129,Goodstart Early Learning North Lakes - College Street 2,Goodstart Early Learning Ltd,5 - 7 College Street,NORTH LAKES,QLD,4509,153.0228049,-27.2321813,9,119,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-16,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00001729,PR-00000973,Bright Horizons Australia Childcare Ayr,Bright Horizons Australia Childcare Pty Ltd,96 Young Street,AYR,QLD,4807,147.3997674,-19.5711141,3,75,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Mar-18,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-13,Yes,No,Yes,No,No,No,6:30,18:30,No
SE-00001730,PR-00001203,Community Kids Victoria Point Early Education Centre 1,G8 KP Pty Ltd,116 Benfer Road,VICTORIA POINT,QLD,4165,153.2865772,-27.5958837,9,101,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00001732,PR-00001129,Goodstart Early Learning Douglas,Goodstart Early Learning Ltd,110 Angus Smith Drive,DOUGLAS,QLD,4814,146.7608885,-19.3224563,6,69,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jun-19,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-14,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00001734,PR-00000797,"Mary Valley Childcare ""Smarty Pants""",Smarty Pants Childcare Pty Ltd,35 William Street ,IMBIL,QLD,4570,152.6773535,-26.4634855,2,55,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-20,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jun-19,Yes,No,No,No,No,No,7:00,18:00,No
SE-00001735,PR-00001129,Goodstart Early Learning Rockhampton,Goodstart Early Learning Ltd,245-253 Campbell St,ROCKHAMPTON CITY,QLD,4700,150.507153,-23.3799546,4,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-13,Yes,No,No,Yes,Yes,Yes,6:30,18:30,Yes
SE-00001736,PR-00000729,Lead Childcare Sunrise,Lead Childcare Pty Ltd ATF The J R Trust,60 Slater Avenue,BLACKS BEACH,QLD,4740,149.1863372,-21.0494636,5,75,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Sep-16,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Nov-12,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00001737,PR-00000010,Redland Bay Early Education Centre,Genoa Enterprises Pty Ltd,92-96 Gordon Road,REDLAND BAY,QLD,4165,153.2911278,-27.6154283,9,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-20,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Sep-16,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00001738,PR-00000812,Mt Cotton Village Child Care Centre,Mt Cotton Village Child Care Centre Pty Limited,50 Valley Way,MOUNT COTTON,QLD,4165,153.2475894,-27.6391237,9,99,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Sep-18,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00001739,PR-00001129,Goodstart Early Learning Thorneside,Goodstart Early Learning Ltd,231 Thorneside Rd,THORNESIDE,QLD,4158,153.1970011,-27.4882312,6,100,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-21,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Oct-17,Yes,No,No,No,No,No,6:30,18:00,Yes
